sbjNo;sbjlevel;studyPrg;sbjName;elective;numCurr;numSchd;srvProvider;srvClient;sbjNotes;lecNo;lecName;lec1stn;lecRoom;lecNotes;isprof;lecDept;supervisor;term;cntLec;cntCurr;cntSchd;assNotes
105400x-MIB;4;MIB;Projek Mediengestaltung;P;4;0;IT;IT;;1195;LB Fischbein;Vitali;;;FALSCH;IT;Schmidt;WS1516;2;0;0;
1054010-TIB;4;TIB;Labor Systemtechnik 1;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;1;2;
1054011-TIB;4;TIB;Echtzeitsysteme;P;2;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;3;4;
1054011-TIB;4;TIB;Echtzeitsysteme;P;2;2;IT;IT;;1053;Friedrich;J�rg;;;WAHR;IT;;SS15;3;3;4;
1054011-TIB;4;TIB;Echtzeitsysteme;P;2;2;IT;IT;;1053;Friedrich;J�rg;;;WAHR;IT;;WS1516;3;3;4;
1054012-TIB;4;TIB;Projekt Echtzeitsysteme;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;2;2;
1054012-TIB;4;TIB;Projekt Echtzeitsysteme;P;1;2;IT;IT;;1053;Friedrich;J�rg;;;WAHR;IT;;SS15;2;2;2;
1054012-TIB;4;TIB;Projekt Echtzeitsysteme;P;1;2;IT;IT;;1053;Friedrich;J�rg;;;WAHR;IT;;WS1516;2;2;2;
1054013-TIB;4;TIB;Sensoren und Aktoren;P;3;4;IT;IT;;86;Malz;Reinhard;F1.453;;WAHR;IT;;SS15;2;3;4;
1054013-TIB;4;TIB;Sensoren und Aktoren;P;3;4;IT;IT;;86;Malz;Reinhard;F1.453;;WAHR;IT;;WS1516;2;3;4;
1054013-TIB;4;TIB;Sensoren und Aktoren;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;3;4;
1054014-TIB;4;TIB;Labor Sensoren und Aktoren;P;1;2;IT;IT;;86;Malz;Reinhard;F1.453;;WAHR;IT;;SS15;0,5;1;2;
1054014-TIB;4;TIB;Labor Sensoren und Aktoren;P;1;2;IT;IT;;86;Malz;Reinhard;F1.453;;WAHR;IT;;WS1516;0,5;1;2;
1054014-TIB;4;TIB;Labor Sensoren und Aktoren;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;1;2;
1054015-WKB;4;WKB;Gesch�ftsprozesse 2;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;3;4;
1054015-WKB;4;WKB;Gesch�ftsprozesse 2;P;4;4;IT;IT;;1122;Rodach;Thomas;;;WAHR;IT;;SS15;3;4;4;
1054015-WKB;4;WKB;Gesch�ftsprozesse 2;P;4;4;IT;IT;;1122;Rodach;Thomas;;;WAHR;IT;;WS1516;3;4;4;
1054016-WKB;4;WKB;Labor Gesch�ftsprozesse 2;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;1;2;
1054016-WKB;4;WKB;Labor Gesch�ftsprozesse 2;P;3;4;IT;IT;;1122;Rodach;Thomas;;;WAHR;IT;;SS15;1;1;2;
1054016-WKB;4;WKB;Labor Gesch�ftsprozesse 2;P;3;4;IT;IT;;1122;Rodach;Thomas;;;WAHR;IT;;WS1516;1;1;2;
1054017-WKB;4;WKB;IT-Services;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;4;4;
1054017-WKB;4;WKB;IT-Services;P;3;4;IT;IT;;1188;LB Weber;Hannelore;;;FALSCH;IT;;SS15;4;4;4;
1054017-WKB;4;WKB;IT-Services;P;3;4;IT;IT;;1188;LB Weber;Hannelore;;;FALSCH;IT;;WS1516;4;4;4;
1054018-WKB;4;WKB;Datenbanken 2;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;3;4;
1054018-WKB;4;WKB;Datenbanken 2;P;3;4;IT;IT;;1125;Hesse;Dirk;;;WAHR;IT;;SS15;3;3;4;
1054018-WKB;4;WKB;Datenbanken 2;P;3;4;IT;IT;;1125;Hesse;Dirk;;;WAHR;IT;;WS1516;3;3;4;
1054019-WKB;4;WKB;Labor Datenbanken 2;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;1;2;
1054019-WKB;4;WKB;Labor Datenbanken 2;P;3;4;IT;IT;;1125;Hesse;Dirk;;;WAHR;IT;;SS15;1;1;2;
1054019-WKB;4;WKB;Labor Datenbanken 2;P;3;4;IT;IT;;1125;Hesse;Dirk;;;WAHR;IT;;WS1516;2;1;2;
1054029-TIB;4;TIB;Regelungstechnik 1;P;4;4;IT;IT;;22;Zimmermann;Werner;F1.351;;WAHR;IT;;SS15;4;4;4;
1054029-TIB;4;TIB;Regelungstechnik 1;P;4;4;IT;IT;;22;Zimmermann;Werner;F1.351;;WAHR;IT;;WS1516;4;4;4;
1054030-TIB;4;TIB;Labor Regelungstechnik 1;P;4;4;IT;IT;;22;Zimmermann;Werner;F1.351;;WAHR;IT;;SS15;2;1;2;
1054030-TIB;4;TIB;Labor Regelungstechnik 1;P;4;4;IT;IT;;22;Zimmermann;Werner;F1.351;;WAHR;IT;;WS1516;1;1;2;
1055001-MIB;5;MIB;Ingenieursmethodiken ;P;1;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;3;4;
1055001-MIB;5;MIB;Ingenieursmethodiken ;P;1;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;3;4;
1055001-MIB;5;MIB;Ingenieursmethodiken ;P;1;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;3;4;
1055001-SWB;5;SWB;Ingenieursmethodiken;P;1;4;IT;IT;;3;Dausmann;Manfred;F1.319;;WAHR;IT;;SS15;2;0;0;
1055001-SWB;5;SWB;Ingenieursmethodiken;P;1;4;IT;IT;;3;Dausmann;Manfred;F1.319;;WAHR;IT;;WS1516;1;0;0;WKB+TIB+SWB
1055001-SWB;5;SWB;Ingenieursmethodiken;P;1;4;IT;IT;;7;H�fer;Karlheinz;F1.452;;WAHR;IT;;SS15;2;0;0;
1055001-SWB;5;SWB;Ingenieursmethodiken;P;1;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;0;0;
1055001-SWB;5;SWB;Ingenieursmethodiken;P;1;4;IT;IT;;1023;Keller;Reinhard;;;WAHR;IT;;SS15;1;0;0;
1055001-SWB;5;SWB;Ingenieursmethodiken;P;1;4;IT;IT;;1023;Keller;Reinhard;;;WAHR;IT;;WS1516;1;0;0;WKB+TIB+SWB
1055001-SWB;5;SWB;Ingenieursmethodiken;P;1;4;IT;IT;;1119;Gro�;Hans-Gerhard;;;WAHR;IT;;WS1516;1;0;0;WKB+TIB+SWB
1055001-TIB;5;TIB;Ingenieursmethodiken;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;3;4;
1055001-TIB;5;TIB;Ingenieursmethodiken;P;1;2;IT;IT;;1023;Keller;Reinhard;;;WAHR;IT;;SS15;1;0;0;
1055001-TIB;5;TIB;Ingenieursmethodiken;P;1;2;IT;IT;;1023;Keller;Reinhard;;;WAHR;IT;;WS1415;3;0;0;
1055001-TIB;5;TIB;Ingenieursmethodiken;P;1;2;IT;IT;;1023;Keller;Reinhard;;;WAHR;IT;;WS1516;1;0;0;WKB+TIB+SWB
1055001-TIB;5;TIB;Ingenieursmethodiken;P;1;2;IT;IT;;1053;Friedrich;J�rg;;;WAHR;IT;;WS1415;2;0;0;
1055001-TIB;5;TIB;Ingenieursmethodiken;P;1;2;IT;IT;;1105;Marchthaler;Reiner;;;WAHR;IT;;SS15;2;0;0;
1055001-TIB;5;TIB;Ingenieursmethodiken;P;1;2;IT;IT;;1105;Marchthaler;Reiner;;;WAHR;IT;;WS1516;1;0;0;WKB+TIB+SWB
1055001-WKB;5;WKB;Ingenieursmethodiken;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;3;4;
1055001-WKB;5;WKB;Ingenieursmethodiken;P;1;2;IT;IT;;1023;Keller;Reinhard;;;WAHR;IT;;SS15;1;3;4;
1055001-WKB;5;WKB;Ingenieursmethodiken;P;1;2;IT;IT;;1023;Keller;Reinhard;;;WAHR;IT;;WS1516;1;3;4;WKB+TIB+SWB
1055002-MIB;5;MIB;Englisch ;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;1;2;
1055002-MIB;5;MIB;Englisch ;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;1;2;
1055002-MIB;5;MIB;Englisch ;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;1;2;
1055002-SWB;5;SWB;Englisch;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;1;2;
1055002-SWB;5;SWB;Englisch;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;1;2;
1055002-SWB;5;SWB;Englisch;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;1;2;
1055002-TIB;5;TIB;Englisch;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;1;2;
1055002-WKB;5;WKB;Englisch;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;0;0;
1055002-WKB;5;WKB;Englisch;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;0;0;
1055002-WKB;5;WKB;Englisch;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;0;0;
1056001-MIB;6;MIB;Informationsysteme;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;3;4;
1056001-MIB;6;MIB;Informationsysteme;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;3;4;
1056001-MIB;6;MIB;Informationsysteme;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;3;4;
1056001-SWB;6;SWB;Informationssysteme ;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;3;4;
1056001-SWB;6;SWB;Informationssysteme ;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;3;4;
1056001-SWB;6;SWB;Informationssysteme ;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;3;4;
1056001-WKB;6;WKB;Informationssysteme;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;3;4;
1056001-WKB;6;WKB;Informationssysteme;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;3;4;
1056001-WKB;6;WKB;Informationssysteme;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;3;4;
1056002-MIB;6;MIB;Labor Informationssysteme ;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;1;2;
1056002-MIB;6;MIB;Labor Informationssysteme ;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;1;2;
1056002-MIB;6;MIB;Labor Informationssysteme ;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;1;2;
1056002-SWB;6;SWB;Labor Informationssysteme ;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;1;2;
1056002-SWB;6;SWB;Labor Informationssysteme ;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;1;2;
1056002-SWB;6;SWB;Labor Informationssysteme ;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;1;2;
1056002-WKB;6;WKB;Labor Informationssysteme;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;1;2;
1056002-WKB;6;WKB;Labor Informationssysteme;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;1;2;
1056002-WKB;6;WKB;Labor Informationssysteme;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;1;2;
1056003-MIB;6;MIB;Softwarequalit�t ;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;3;4;
1056003-MIB;6;MIB;Softwarequalit�t ;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;3;4;
1056003-MIB;6;MIB;Softwarequalit�t ;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;3;4;
1056003-SWB;6;SWB;Sofwarequalit�t;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;3;4;
1056003-SWB;6;SWB;Sofwarequalit�t;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;3;4;
1056003-SWB;6;SWB;Sofwarequalit�t;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;3;4;
1056004-MIB;6;MIB;Labor Softwarequalit�t ;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;1;2;
1056004-MIB;6;MIB;Labor Softwarequalit�t ;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;1;2;
1056004-MIB;6;MIB;Labor Softwarequalit�t ;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;1;2;
1056004-SWB;6;SWB;Labor Softwarequalit�t ;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;1;2;
1056004-SWB;6;SWB;Labor Softwarequalit�t ;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;1;2;
1056004-SWB;6;SWB;Labor Softwarequalit�t ;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;1;2;
1056005-MIB;6;MIB;IT-Sicherheit ;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;0;0;
1056005-MIB;6;MIB;IT-Sicherheit ;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;0;0;
1056005-MIB;6;MIB;IT-Sicherheit ;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;0;0;
1056005-SWB;6;SWB;IT-Sicherheit ;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;3;4;
1056005-SWB;6;SWB;IT-Sicherheit ;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;3;4;
1056005-SWB;6;SWB;IT-Sicherheit ;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;3;4;
1056006-MIB;6;MIB;Labor IT-Sicherheit ;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;3;4;
1056006-MIB;6;MIB;Labor IT-Sicherheit ;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;3;4;
1056006-MIB;6;MIB;Labor IT-Sicherheit ;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;3;4;
1056006-SWB;6;SWB;Labor IT-Sicherheit ;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;1;2;
1056006-SWB;6;SWB;Labor IT-Sicherheit ;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;1;2;
1056006-SWB;6;SWB;Labor IT-Sicherheit ;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;1;2;
1056007-MIB;6;MIB;Studienprojekt ;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;0;0;
1056007-MIB;6;MIB;Studienprojekt ;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;0;0;
1056007-MIB;6;MIB;Studienprojekt ;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;0;0;
1056007-SWB;6;SWB;Studienprojekt ;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;0;0;
1056007-SWB;6;SWB;Studienprojekt ;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;0;0;
1056007-SWB;6;SWB;Studienprojekt ;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;0;0;
1056007-TIB;6;TIB;Studienprojekt;P;2;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;0;0;
1056007-WKB;6;WKB;Studienprojekt;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;0;0;
1056007-WKB;6;WKB;Studienprojekt;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;0;0;
1056007-WKB;6;WKB;Studienprojekt;P;1;2;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;0;0;
1056008-TIB;4;TIB;Digitale Signalverarbeitung;P;3;4;IT;IT;;7;H�fer;Karlheinz;F1.452;;WAHR;IT;;WS1415;4;4;4;
1056009-TIB;4;TIB;Labor Digitale Signalverarbeitung;P;1;4;IT;IT;;7;H�fer;Karlheinz;F1.452;;WAHR;IT;;WS1415;2;1;4;
1056010-TIB;6;TIB;Embedded Systems Design;P;4;4;IT;IT;;1105;Marchthaler;Reiner;;;WAHR;IT;;SS15;3,5;4;4;
1056010-TIB;6;TIB;Embedded Systems Design;P;4;4;IT;IT;;1105;Marchthaler;Reiner;;;WAHR;IT;;WS1415;3,5;4;4;
1056010-TIB;6;TIB;Embedded Systems Design;P;4;4;IT;IT;;1105;Marchthaler;Reiner;;;WAHR;IT;;WS1516;3,5;4;4;
1056010-TIB;6;TIB;Embedded Systems Design;P;4;4;IT;IT;;1131;LB Blossey;Stefan;;;FALSCH;IT;;SS15;0,5;0;0;
1056010-TIB;6;TIB;Embedded Systems Design;P;4;4;IT;IT;;1131;LB Blossey;Stefan;;;FALSCH;IT;;WS1415;0,5;0;0;
1056010-TIB;6;TIB;Embedded Systems Design;P;4;4;IT;IT;;1131;LB Blossey;Stefan;;;FALSCH;IT;;WS1516;0,5;0;0;
1056011-TIB;6;TIB;Projekt Embedded Systems Design;P;1;2;IT;IT;;1014;LB Klenk;Udo;;;FALSCH;IT;Schmidt;SS15;1;1;4;
1056011-TIB;6;TIB;Projekt Embedded Systems Design;P;1;2;IT;IT;;1014;LB Klenk;Udo;;;FALSCH;IT;Schmidt;WS1415;0,5;1;4;
1056011-TIB;6;TIB;Projekt Embedded Systems Design;P;1;2;IT;IT;;1014;LB Klenk;Udo;;;FALSCH;IT;Schmidt;WS1516;1;1;4;
1056011-TIB;6;TIB;Projekt Embedded Systems Design;P;1;2;IT;IT;;1105;Marchthaler;Reiner;;;WAHR;IT;;SS15;2;0;0;
1056011-TIB;6;TIB;Projekt Embedded Systems Design;P;1;2;IT;IT;;1105;Marchthaler;Reiner;;;WAHR;IT;;WS1415;1,5;0;0;
1056011-TIB;6;TIB;Projekt Embedded Systems Design;P;1;2;IT;IT;;1105;Marchthaler;Reiner;;;WAHR;IT;;WS1516;1;0;0;
1056012-TIB;6;TIB;Embedded Systems Communication;P;3;4;IT;IT;;1023;Keller;Reinhard;;;WAHR;IT;;SS15;4;4;4;
1056012-TIB;6;TIB;Embedded Systems Communication;P;3;4;IT;IT;;1023;Keller;Reinhard;;;WAHR;IT;;WS1415;4;4;4;
1056012-TIB;6;TIB;Embedded Systems Communication;P;3;4;IT;IT;;1023;Keller;Reinhard;;;WAHR;IT;;WS1516;4;4;4;
1056013-TIB;6;TIB;Labor Embedded Systems Communication;P;4;4;IT;IT;;1023;Keller;Reinhard;;;WAHR;IT;;WS1415;0;1;4;
1056013-TIB;6;TIB;Labor Embedded Systems Communication;P;4;4;IT;IT;;1112;LB Jacob;Manuel;;;FALSCH;IT;Keller;SS15;1;1;4;
1056013-TIB;6;TIB;Labor Embedded Systems Communication;P;4;4;IT;IT;;1112;LB Jacob;Manuel;;;FALSCH;IT;Keller;WS1516;1;1;4;
1056013-TIB;6;TIB;Labor Embedded Systems Communication;P;4;4;IT;IT;;1138;LB Hayer;Christian;;;FALSCH;IT;;SS15;1;1;4;
1056013-TIB;6;TIB;Labor Embedded Systems Communication;P;4;4;IT;IT;;1138;LB Hayer;Christian;;;FALSCH;IT;;WS1415;1,5;0;0;
1056013-TIB;6;TIB;Labor Embedded Systems Communication;P;4;4;IT;IT;;1138;LB Hayer;Christian;;;FALSCH;IT;;WS1516;1;1;4;
1056014-TIB;6;TIB;Systemtechnik 2;P;3;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;4;4;
1056014-TIB;6;TIB;Systemtechnik 2;P;3;4;IT;IT;;1022;Lindermeir;Walter Matthias;F1.451;;WAHR;IT;;WS1415;4;4;4;
1056015-TIB;6;TIB;Labor Systemtechnik 2;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;1;2;
1056015-TIB;6;TIB;Labor Systemtechnik 2;P;0;0;IT;IT;;1022;Lindermeir;Walter Matthias;F1.451;;WAHR;IT;;WS1415;3;1;4;
1056017-WKB;6;WKB;Projekt Business Intelligence;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;1;2;
1056017-WKB;6;WKB;Projekt Business Intelligence;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;1;2;
1056017-WKB;6;WKB;Projekt Business Intelligence;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;1;2;
1056016-WKB;6;WKB;Business Intelligence;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;3;4;
1056016-WKB;6;WKB;Business Intelligence;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;3;4;
1056016-WKB;6;WKB;Business Intelligence;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;3;4;
1056018-WKB;6;WKB;Spezielle BWL 1;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;4;4;
1056018-WKB;6;WKB;Spezielle BWL 1;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;4;4;
1056018-WKB;6;WKB;Spezielle BWL 1;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;4;4;
1056019-WKB;6;WKB;Spezielle BWL 2;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;4;4;
1056019-WKB;6;WKB;Spezielle BWL 2;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;4;4;
1056019-WKB;6;WKB;Spezielle BWL 2;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;4;4;
1056022-TIB;6;TIB;Regelungstechnik 2;P;3;4;IT;IT;;1022;Lindermeir;Walter Matthias;F1.451;;WAHR;IT;;SS15;4;4;4;
1056022-TIB;6;TIB;Regelungstechnik 2;P;3;4;IT;IT;;1022;Lindermeir;Walter Matthias;F1.451;;WAHR;IT;;WS1516;4;4;4;
1056023-TIB;6;TIB;Labor Regelungstechnik 2;P;0;0;IT;IT;;1022;Lindermeir;Walter Matthias;F1.451;;WAHR;IT;;SS15;3;1;4;
1056023-TIB;6;TIB;Labor Regelungstechnik 2;P;0;0;IT;IT;;1022;Lindermeir;Walter Matthias;F1.451;;WAHR;IT;;WS1516;1;1;4;
1057000-MIB;7;MIB;Bachelorarbeit ;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;0;0;
1057000-MIB;7;MIB;Bachelorarbeit ;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;0;0;
1057000-MIB;7;MIB;Bachelorarbeit ;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;0;0;
1057000-SWB;7;SWB;Bachelorarbeit ;P;6;6;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;0;0;
1057000-SWB;7;SWB;Bachelorarbeit ;P;6;6;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;0;0;
1057000-SWB;7;SWB;Bachelorarbeit ;P;6;6;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;0;0;
1057000-TIB;7;TIB;Bachelorarbeit;P;6;6;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;0;0;
1057000-TIB;7;TIB;Bachelorarbeit;P;6;6;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;0;0;
1057000-TIB;7;TIB;Bachelorarbeit;P;6;6;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;0;0;
1057000-WKB;7;WKB;Bachelorarbeit;P;6;6;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;0;0;
1057000-WKB;7;WKB;Bachelorarbeit;P;6;6;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;0;0;
1057000-WKB;7;WKB;Bachelorarbeit;P;6;6;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;0;0;
1057001-MIB;7;MIB;Wissenschaftliche Vertiefung;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;0;0;
1057001-MIB;7;MIB;Wissenschaftliche Vertiefung;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;0;0;
1057001-MIB;7;MIB;Wissenschaftliche Vertiefung;P;4;4;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;0;0;
1057001-SWB;7;SWB;Wissenschaftliche Vertiefung;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;0;0;
1057001-SWB;7;SWB;Wissenschaftliche Vertiefung;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;0;0;
1057001-SWB;7;SWB;Wissenschaftliche Vertiefung;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1516;0;0;0;
1057001-TIB;7;TIB;Wissenschaftliche Vertiefung;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;SS15;0;0;0;
1057001-TIB;7;TIB;Wissenschaftliche Vertiefung;P;0;0;IT;IT;;999;IT-Prof;�;F 1.3;;WAHR;IT;;WS1415;0;0;0;
